device_id,timestamp,x,y,status
7,21,4178,1892,1
8,21,4742,1853,1
9,21,6159,1564,1
10,21,4021,1005,1
11,21,3947,1005,1
12,21,3667,1206,1
13,21,2224,1884,1
14,21,2338,2605,1
15,21,2461,2644,1
16,21,3400,3042,1
17,21,4231,2950,1
18,21,5145,2141,1
19,21,3269,3335,1
20,21,2404,3566,1
1,22,3916,3654,1
2,22,3951,3636,1
3,22,3973,3658,1
4,22,3903,4021,1
5,22,5249,3169,1
6,22,5569,3252,1
7,22,4178,1892,1
8,22,4716,1792,1
9,22,6146,1477,1
10,22,4021,1005,1
11,22,3947,1005,1
12,22,3667,1206,1
13,22,2216,1888,1
14,22,2430,2631,1
15,22,2500,2539,1
16,22,3400,3051,1
17,22,4266,2898,1
18,22,5118,2141,1
19,22,3387,3348,1
20,22,2404,3566,1
1,23,3916,3654,1
2,23,3951,3636,1
3,23,3851,3886,1
4,23,3903,4021,1
5,23,5214,3195,1
6,23,5608,3217,1
7,23,4178,1892,1
8,23,4716,1792,1
9,23,6106,1425,1
10,23,4021,1005,1
11,23,3947,1005,1
12,23,3667,1206,1
13,23,2216,1897,1
14,23,2430,2631,1
15,23,2500,2474,1
16,23,3400,3068,1
17,23,4327,2819,1
18,23,5123,2141,1
19,23,3440,3348,1
20,23,2404,3566,1
1,24,3916,3654,1
2,24,3951,3636,1
3,24,3903,3824,1
4,24,3877,4017,1
5,24,5158,3234,1
6,24,5529,3059,1
7,24,4178,1892,1
8,24,4694,1757,1
9,24,6036,1368,1
10,24,4025,1005,1
11,24,3947,1005,1
12,24,3667,1206,1
13,24,2216,1897,1
14,24,2360,2644,1
15,24,2574,2421,1
16,24,3405,3160,1
17,24,4336,2749,1
18,24,5201,2141,1
19,24,3518,3339,1
20,24,2395,3566,1
